FID,ARCID,GRID_CODE,FROM_NODE,TO_NODE,Length,X_UTM,Y_UTM,flowacc_co,AngeloSage
23311,2172,1,1852,1798,202.730217000000010,450605.000000000000000,4394685.000000000000000,9808,1137.9200439
23312,2172,1,1852,1798,202.730217000000010,450608.000000000000000,4394690.000000000000000,9688,1137.8699951
23313,2172,1,1852,1798,202.730217000000010,450608.000000000000000,4394692.000000000000000,9084,1137.8499756
23314,2172,1,1852,1798,202.730217000000010,450610.000000000000000,4394694.000000000000000,9048,1137.8900146
23315,2175,1,1805,1855,130.118213999999990,450527.000000000000000,4394692.000000000000000,112278,1136.3599854
23316,2178,1,1811,1857,105.622439000000000,449864.000000000000000,4394699.000000000000000,9704,984.0349731
23317,2178,1,1811,1857,105.622439000000000,449856.000000000000000,4394690.000000000000000,10003,978.9320068
23318,2178,1,1811,1857,105.622439000000000,449856.000000000000000,4394687.000000000000000,10006,977.7440186
23319,2180,1,1770,1858,391.998756000000010,449311.000000000000000,4394700.000000000000000,42323,879.9140015
23320,2180,1,1770,1858,391.998756000000010,449303.000000000000000,4394692.000000000000000,42736,876.7360229
23321,2180,1,1770,1858,391.998756000000010,449299.000000000000000,4394692.000000000000000,47411,875.8480225
23322,2180,1,1770,1858,391.998756000000010,449295.000000000000000,4394687.000000000000000,47726,874.9539795
23323,2186,1,1831,1862,84.234521999999998,448928.000000000000000,4394697.000000000000000,11904,870.2399902
23324,2186,1,1831,1862,84.234521999999998,448925.000000000000000,4394694.000000000000000,11560,872.4320068
23325,2189,1,1800,1864,264.598104999999980,450686.000000000000000,4394696.000000000000000,8461,1141.1800537
23326,2189,1,1800,1864,264.598104999999980,450686.000000000000000,4394694.000000000000000,8470,1141.1500244
23327,2189,1,1800,1864,264.598104999999980,450688.000000000000000,4394692.000000000000000,8706,1141.0999756
23328,2189,1,1800,1864,264.598104999999980,450688.000000000000000,4394689.000000000000000,9419,1141.0400391
23329,2197,1,1873,1829,212.788534000000000,448915.000000000000000,4394685.000000000000000,25876,879.9940186
23330,2197,1,1873,1829,212.788534000000000,448918.000000000000000,4394692.000000000000000,26256,875.2319946
23331,2197,1,1873,1829,212.788534000000000,448924.000000000000000,4394698.000000000000000,32774,871.2700195
23332,2197,1,1873,1829,212.788534000000000,448927.000000000000000,4394698.000000000000000,32898,870.1279907
23333,2203,1,1875,1810,203.993736000000010,450058.000000000000000,4394696.000000000000000,29040,1051.6500244
23334,2209,1,1882,1794,230.145129999999990,450141.000000000000000,4394689.000000000000000,12804,1081.1899414
23335,2209,1,1882,1794,230.145129999999990,450139.000000000000000,4394692.000000000000000,12270,1083.0600586
23336,2209,1,1882,1794,230.145129999999990,450139.000000000000000,4394698.000000000000000,11983,1085.9399414
23337,2209,1,1882,1794,230.145129999999990,450137.000000000000000,4394700.000000000000000,10613,1086.8100586
23338,2215,1,1813,1886,171.589997000000010,450261.000000000000000,4394689.000000000000000,9957,1122.5899658
23339,2215,1,1813,1886,171.589997000000010,450262.000000000000000,4394687.000000000000000,10008,1121.6400146
23340,2215,1,1813,1886,171.589997000000010,450260.000000000000000,4394685.000000000000000,10022,1120.4599609
23341,2162,1,1838,1844,32.711272000000001,449447.000000000000000,4394679.000000000000000,301032,889.7600098
23342,2162,1,1838,1844,32.711272000000001,449441.000000000000000,4394671.000000000000000,301333,887.3690186
23343,2163,1,1843,1845,7.927447000000000,450778.000000000000000,4394671.000000000000000,9691,1142.3900146
23344,2168,1,1841,1849,40.200609000000000,449097.000000000000000,4394684.000000000000000,2873844,835.0040283
23345,2168,1,1841,1849,40.200609000000000,449101.000000000000000,4394677.000000000000000,2873715,836.6669922
23346,2168,1,1841,1849,40.200609000000000,449101.000000000000000,4394674.000000000000000,2873458,836.7960205
23347,2168,1,1841,1849,40.200609000000000,449100.000000000000000,4394673.000000000000000,2873454,836.9970093
23348,2168,1,1841,1849,40.200609000000000,449101.000000000000000,4394672.000000000000000,2873445,836.9439697
23349,2168,1,1841,1849,40.200609000000000,449100.000000000000000,4394669.000000000000000,2873335,837.3400269
23350,2172,1,1852,1798,202.730217000000010,450593.000000000000000,4394672.000000000000000,14363,1137.5500488
23351,2172,1,1852,1798,202.730217000000010,450591.000000000000000,4394675.000000000000000,14352,1137.5500488
23352,2172,1,1852,1798,202.730217000000010,450598.000000000000000,4394681.000000000000000,14287,1137.7700195
23353,2175,1,1805,1855,130.118213999999990,450534.000000000000000,4394681.000000000000000,112582,1136.1400146
23354,2175,1,1805,1855,130.118213999999990,450534.000000000000000,4394678.000000000000000,112611,1136.0600586
23355,2175,1,1805,1855,130.118213999999990,450535.000000000000000,4394677.000000000000000,112624,1136.1400146
23356,2175,1,1805,1855,130.118213999999990,450533.000000000000000,4394674.000000000000000,112665,1135.8199463
23357,2175,1,1805,1855,130.118213999999990,450533.000000000000000,4394671.000000000000000,112908,1135.8399658
23358,2178,1,1811,1857,105.622439000000000,449853.000000000000000,4394684.000000000000000,10280,975.5640259
23359,2178,1,1811,1857,105.622439000000000,449852.000000000000000,4394680.000000000000000,10611,973.9199829
23360,2178,1,1811,1857,105.622439000000000,449849.000000000000000,4394676.000000000000000,12231,971.6060181
23361,2178,1,1811,1857,105.622439000000000,449849.000000000000000,4394669.000000000000000,12240,967.8519897
23362,2180,1,1770,1858,391.998756000000010,449291.000000000000000,4394679.000000000000000,47866,873.4530029
23363,2186,1,1831,1862,84.234521999999998,448925.000000000000000,4394679.000000000000000,7806,881.7769775
23364,2186,1,1831,1862,84.234521999999998,448923.000000000000000,4394676.000000000000000,7800,883.8610229
23365,2189,1,1800,1864,264.598104999999980,450685.000000000000000,4394684.000000000000000,9588,1140.7800293
23366,2189,1,1800,1864,264.598104999999980,450685.000000000000000,4394681.000000000000000,9631,1140.7199707
23367,2189,1,1800,1864,264.598104999999980,450684.000000000000000,4394680.000000000000000,9638,1140.6400146
23368,2189,1,1800,1864,264.598104999999980,450677.000000000000000,4394676.000000000000000,10008,1140.6300049
23369,2189,1,1800,1864,264.598104999999980,450674.000000000000000,4394676.000000000000000,10057,1140.3800049
23370,2189,1,1800,1864,264.598104999999980,450670.000000000000000,4394674.000000000000000,10137,1140.1899414
23371,2189,1,1800,1864,264.598104999999980,450666.000000000000000,4394674.000000000000000,10181,1140.1199951
23372,2189,1,1800,1864,264.598104999999980,450664.000000000000000,4394677.000000000000000,10217,1140.0300293
23373,2189,1,1800,1864,264.598104999999980,450660.000000000000000,4394677.000000000000000,10233,1139.9000244
23374,2189,1,1800,1864,264.598104999999980,450654.000000000000000,4394672.000000000000000,13202,1139.6899414
23375,2189,1,1800,1864,264.598104999999980,450652.000000000000000,4394671.000000000000000,13292,1139.9000244
23376,2189,1,1800,1864,264.598104999999980,450651.000000000000000,4394672.000000000000000,13294,1139.8699951
23377,2189,1,1800,1864,264.598104999999980,450648.000000000000000,4394672.000000000000000,13307,1139.6700439
23378,2189,1,1800,1864,264.598104999999980,450647.000000000000000,4394670.000000000000000,13315,1139.3699951
23379,2189,1,1800,1864,264.598104999999980,450641.000000000000000,4394672.000000000000000,13794,1139.2199707
23380,2189,1,1800,1864,264.598104999999980,450639.000000000000000,4394675.000000000000000,13839,1139.1500244
23381,2189,1,1800,1864,264.598104999999980,450637.000000000000000,4394675.000000000000000,13842,1139.1600342
23382,2189,1,1800,1864,264.598104999999980,450634.000000000000000,4394673.000000000000000,13852,1139.0400391
23383,2189,1,1800,1864,264.598104999999980,450626.000000000000000,4394674.000000000000000,13878,1138.6199951
23384,2197,1,1873,1829,212.788534000000000,448911.000000000000000,4394669.000000000000000,25127,891.1030273
23385,2197,1,1873,1829,212.788534000000000,448912.000000000000000,4394682.000000000000000,25871,882.4060059
23386,2203,1,1875,1810,203.993736000000010,450044.000000000000000,4394669.000000000000000,32761,1033.8100586
23387,2203,1,1875,1810,203.993736000000010,450046.000000000000000,4394671.000000000000000,32753,1035.4300537
23388,2203,1,1875,1810,203.993736000000010,450046.000000000000000,4394679.000000000000000,32568,1039.4699707
23389,2203,1,1875,1810,203.993736000000010,450047.000000000000000,4394682.000000000000000,32557,1041.1600342
23390,2209,1,1882,1794,230.145129999999990,450139.000000000000000,4394670.000000000000000,14288,1069.1999512
23391,2209,1,1882,1794,230.145129999999990,450140.000000000000000,4394674.000000000000000,14212,1071.7800293
23392,2209,1,1882,1794,230.145129999999990,450143.000000000000000,4394679.000000000000000,12888,1075.5000000
23393,2215,1,1813,1886,171.589997000000010,450259.000000000000000,4394680.000000000000000,10051,1117.9599609
23394,2215,1,1813,1886,171.589997000000010,450252.000000000000000,4394673.000000000000000,10175,1113.0500488
23395,2215,1,1813,1886,171.589997000000010,450252.000000000000000,4394671.000000000000000,10194,1111.3800049
23396,2215,1,1813,1886,171.589997000000010,450250.000000000000000,4394669.000000000000000,10204,1109.3100586
23397,2162,1,1838,1844,32.711272000000001,449441.000000000000000,4394665.000000000000000,301350,886.2139893
23398,2162,1,1838,1844,32.711272000000001,449440.000000000000000,4394664.000000000000000,301351,885.8259888
23399,2163,1,1843,1845,7.927447000000000,450777.000000000000000,4394666.000000000000000,9838,1142.2299805
23400,2163,1,1843,1845,7.927447000000000,450775.000000000000000,4394664.000000000000000,18807,1142.1300049
23401,2164,1,1844,1846,1.414214000000000,449440.000000000000000,4394664.000000000000000,301351,885.8259888
23402,2164,1,1844,1846,1.414214000000000,449441.000000000000000,4394663.000000000000000,1175538,885.8309937
23403,2165,1,1847,1844,3.236068000000000,449438.000000000000000,4394662.000000000000000,1175992,885.3829956
23404,2165,1,1847,1844,3.236068000000000,449438.000000000000000,4394663.000000000000000,301385,885.5260010
23405,2165,1,1847,1844,3.236068000000000,449440.000000000000000,4394664.000000000000000,301351,885.8259888
23406,2166,1,1847,1846,3.162278000000000,449438.000000000000000,4394662.000000000000000,1175992,885.3829956
23407,2166,1,1847,1846,3.162278000000000,449441.000000000000000,4394663.000000000000000,1175538,885.8309937
23408,2167,1,1845,1848,35.729509000000000,450775.000000000000000,4394664.000000000000000,18807,1142.1300049
23409,2167,1,1845,1848,35.729509000000000,450779.000000000000000,4394661.000000000000000,8931,1142.3699951
23410,2167,1,1845,1848,35.729509000000000,450782.000000000000000,4394663.000000000000000,8765,1142.5899658
23411,2167,1,1845,1848,35.729509000000000,450784.000000000000000,4394663.000000000000000,8756,1142.6700439
23412,2167,1,1845,1848,35.729509000000000,450790.000000000000000,4394658.000000000000000,7103,1143.1999512
23413,2167,1,1845,1848,35.729509000000000,450796.000000000000000,4394658.000000000000000,7020,1143.6800537
23414,2167,1,1845,1848,35.729509000000000,450799.000000000000000,4394655.000000000000000,6922,1143.7900391
23415,2167,1,1845,1848,35.729509000000000,450806.000000000000000,4394654.000000000000000,6760,1144.3299561
23416,2168,1,1841,1849,40.200609000000000,449101.000000000000000,4394666.000000000000000,2873251,838.1530151
23417,2168,1,1841,1849,40.200609000000000,449101.000000000000000,4394657.000000000000000,2872609,839.4710083
23418,2168,1,1841,1849,40.200609000000000,449100.000000000000000,4394655.000000000000000,2872590,839.5679932
23419,2168,1,1841,1849,40.200609000000000,449101.000000000000000,4394653.000000000000000,15855,839.8099976
23420,2169,1,1849,1850,1.000000000000000,449101.000000000000000,4394653.000000000000000,15855,839.8099976
23421,2171,1,1849,1851,2.000000000000000,449101.000000000000000,4394653.000000000000000,15855,839.8099976
23422,2171,1,1849,1851,2.000000000000000,449102.000000000000000,4394653.000000000000000,2856411,839.7960205
23423,2172,1,1852,1798,202.730217000000010,450540.000000000000000,4394654.000000000000000,17713,1135.3100586
23424,2172,1,1852,1798,202.730217000000010,450557.000000000000000,4394656.000000000000000,16031,1136.3299561
23425,2172,1,1852,1798,202.730217000000010,450558.000000000000000,4394655.000000000000000,16029,1136.3499756
23426,2172,1,1852,1798,202.730217000000010,450559.000000000000000,4394656.000000000000000,16027,1136.4000244
23427,2172,1,1852,1798,202.730217000000010,450565.000000000000000,4394656.000000000000000,15962,1136.5799561
23428,2172,1,1852,1798,202.730217000000010,450566.000000000000000,4394655.000000000000000,15960,1136.5999756
23429,2172,1,1852,1798,202.730217000000010,450569.000000000000000,4394657.000000000000000,15928,1136.6600342
23430,2172,1,1852,1798,202.730217000000010,450575.000000000000000,4394658.000000000000000,15857,1136.8699951
23431,2172,1,1852,1798,202.730217000000010,450579.000000000000000,4394661.000000000000000,15622,1136.8100586
23432,2172,1,1852,1798,202.730217000000010,450584.000000000000000,4394661.000000000000000,15471,1136.9699707
23433,2172,1,1852,1798,202.730217000000010,450586.000000000000000,4394660.000000000000000,15356,1137.0100098
23434,2172,1,1852,1798,202.730217000000010,450590.000000000000000,4394663.000000000000000,15089,1137.0500488
23435,2172,1,1852,1798,202.730217000000010,450592.000000000000000,4394666.000000000000000,15069,1137.2099609
23436,2172,1,1852,1798,202.730217000000010,450591.000000000000000,4394667.000000000000000,14379,1137.3399658
23437,2173,1,1853,1847,121.342690000000000,449351.000000000000000,4394654.000000000000000,1488732,873.3229980
23438,2173,1,1853,1847,121.342690000000000,449358.000000000000000,4394656.000000000000000,1488322,873.9680176
23439,2173,1,1853,1847,121.342690000000000,449358.000000000000000,4394657.000000000000000,1488290,874.0709839
23440,2173,1,1853,1847,121.342690000000000,449361.000000000000000,4394659.000000000000000,1487993,874.6170044
