X,Y,streamorde,IX,Shape_Leng,X_UTM,Y_UTM,flowacc_co,slp_deg_co,AngeloSage
457984,4379432,4384,21564,4384,457984,4379432,672060,8.23844,738.71
457985,4379433,4384,21564,4384,457985,4379433,672186,11.1742,738.691
457986,4379433,4384,21564,4384,457986,4379433,672201,0.420258,738.628
457987,4379434,4384,21564,4384,457987,4379434,672216,10.3539,738.696
457988,4379434,4384,21564,4384,457988,4379434,672246,0.960145,738.632
457989,4379435,4384,21564,4384,457989,4379435,672251,8.63702,738.656
457990,4379435,4384,21564,4384,457990,4379435,672465,2.12575,738.635
457991,4379435,4384,21564,4384,457991,4379435,672469,4.01761,738.64
457992,4379435,4384,21564,4384,457992,4379435,672474,6.72115,738.616
457993,4379435,4384,21564,4384,457993,4379435,672477,9.05812,738.579
457994,4379435,4384,21564,4384,457994,4379435,672545,10.9443,738.529
457995,4379436,4384,21564,4384,457995,4379436,32,2.79209,738.601
457996,4379436,4384,21564,4384,457996,4379436,672596,3.10601,738.519
457997,4379436,4384,21564,4384,457997,4379436,672949,6.3353,738.459
457998,4379436,4384,21564,4384,457998,4379436,672952,8.28256,738.483
457999,4379436,4384,21564,4384,457999,4379436,672954,9.57148,738.554
458000,4379436,4384,21564,4384,458000,4379436,672957,8.72775,738.607
458001,4379436,4384,21564,4384,458001,4379436,672960,8.3636,738.599
458002,4379436,4384,21564,4384,458002,4379436,672963,10.5646,738.581
458003,4379435,4384,21564,4384,458003,4379435,3,9.23899,738.558
458004,4379434,4384,21564,4384,458004,4379434,0,8.49607,738.529
458005,4379434,4384,21564,4384,458005,4379434,681565,6.55866,738.562
458006,4379433,4384,21564,4384,458006,4379433,681566,5.7745,738.636
458007,4379432,4384,21564,4384,458007,4379432,681610,9.31428,738.331
458008,4379432,4384,21564,4384,458008,4379432,681981,7.51648,738.121
458009,4379431,4384,21564,4384,458009,4379431,681987,2.74687,738.089
458010,4379430,4384,21564,4384,458010,4379430,5,10.1856,738.212
458011,4379430,4384,21564,4384,458011,4379430,7,8.56937,738.233
458012,4379430,4384,21564,4384,458012,4379430,682009,6.85291,738.229
458013,4379430,4384,21564,4384,458013,4379430,682043,3.2233,738.159
458014,4379429,4384,21564,4384,458014,4379429,682223,3.42902,738.237
