X,Y,streamorde,IX,X_UTM,Y_UTM,flowacc_co,slp_deg_co,AngeloSage
446883,4399587,3,38366,446883.00000000000,4399587.00000000000,9544,5.63958000000,524.79100000000
446883,4399586,3,38366,446883.00000000000,4399586.00000000000,9550,4.36978000000,524.71900000000
446884,4399585,3,38366,446884.00000000000,4399585.00000000000,9552,12.75050000000,524.64800000000
446884,4399584,3,38366,446884.00000000000,4399584.00000000000,9554,17.33140000000,524.37000000000
446884,4399583,3,38366,446884.00000000000,4399583.00000000000,9555,22.42340000000,524.03900000000
446884,4399582,3,38366,446884.00000000000,4399582.00000000000,9556,19.33690000000,523.50200000000
446884,4399581,3,38366,446884.00000000000,4399581.00000000000,9557,14.56880000000,523.31000000000
446884,4399580,3,38366,446884.00000000000,4399580.00000000000,9569,16.26830000000,523.01100000000
446884,4399579,3,38366,446884.00000000000,4399579.00000000000,9572,18.50780000000,522.72600000000
446885,4399578,3,38366,446885.00000000000,4399578.00000000000,9637,13.65380000000,522.27500000000
446884,4399577,3,38366,446884.00000000000,4399577.00000000000,9641,11.20570000000,522.18200000000
446883,4399576,3,38366,446883.00000000000,4399576.00000000000,9642,18.31940000000,521.89600000000
446882,4399575,3,38366,446882.00000000000,4399575.00000000000,9649,19.68690000000,521.45900000000
446882,4399574,3,38366,446882.00000000000,4399574.00000000000,9650,21.97240000000,521.06800000000
446882,4399573,3,38366,446882.00000000000,4399573.00000000000,9651,16.42640000000,520.63700000000
446882,4399572,3,38366,446882.00000000000,4399572.00000000000,9652,10.53390000000,520.48200000000
446883,4399571,3,38366,446883.00000000000,4399571.00000000000,9662,16.04620000000,520.22000000000
446884,4399570,3,38366,446884.00000000000,4399570.00000000000,9671,24.23350000000,519.83800000000
446884,4399569,3,38366,446884.00000000000,4399569.00000000000,9674,25.72460000000,519.34900000000
446884,4399568,3,38366,446884.00000000000,4399568.00000000000,9677,25.08880000000,518.91900000000
446884,4399567,3,38366,446884.00000000000,4399567.00000000000,9680,22.50130000000,518.51100000000
446885,4399566,3,38366,446885.00000000000,4399566.00000000000,9681,23.51170000000,518.01600000000
446886,4399565,3,38366,446886.00000000000,4399565.00000000000,9682,27.59810000000,517.23600000000
446887,4399564,3,38366,446887.00000000000,4399564.00000000000,9683,23.89050000000,516.67300000000
446888,4399563,3,38366,446888.00000000000,4399563.00000000000,9712,30.39130000000,515.94200000000
446888,4399562,3,38366,446888.00000000000,4399562.00000000000,9713,30.82850000000,515.33800000000
446889,4399561,3,38366,446889.00000000000,4399561.00000000000,9739,36.63340000000,514.56300000000
446889,4399560,3,38366,446889.00000000000,4399560.00000000000,9751,42.16590000000,513.78200000000
446890,4399559,3,38366,446890.00000000000,4399559.00000000000,9762,48.66460000000,512.44700000000
446891,4399558,3,38366,446891.00000000000,4399558.00000000000,9812,43.20810000000,510.85300000000
446891,4399557,3,38366,446891.00000000000,4399557.00000000000,10081,21.52560000000,510.30700000000
446891,4399556,3,38366,446891.00000000000,4399556.00000000000,10085,21.55180000000,510.09200000000
446891,4399555,3,38366,446891.00000000000,4399555.00000000000,10098,22.10690000000,509.59200000000
446890,4399554,3,38366,446890.00000000000,4399554.00000000000,10202,18.71870000000,509.28000000000
446890,4399553,3,38366,446890.00000000000,4399553.00000000000,10204,18.15550000000,508.99300000000
446889,4399552,3,38366,446889.00000000000,4399552.00000000000,10208,17.65740000000,508.59300000000
446889,4399551,3,38366,446889.00000000000,4399551.00000000000,10389,15.38630000000,508.32500000000
446888,4399550,3,38366,446888.00000000000,4399550.00000000000,1993860,5.45258000000,508.06400000000
446967,4399787,2,38528,446967.00000000000,4399787.00000000000,11791,39.00740000000,644.08500000000
446967,4399786,2,38528,446967.00000000000,4399786.00000000000,11794,29.81380000000,643.60900000000
446967,4399785,2,38528,446967.00000000000,4399785.00000000000,12248,24.97310000000,642.97800000000
446967,4399784,2,38528,446967.00000000000,4399784.00000000000,12259,23.86780000000,642.70200000000
446967,4399783,2,38528,446967.00000000000,4399783.00000000000,12266,25.19310000000,642.23100000000
446966,4399782,2,38528,446966.00000000000,4399782.00000000000,12656,22.12180000000,641.86500000000
446966,4399781,2,38528,446966.00000000000,4399781.00000000000,12658,20.30460000000,641.51400000000
446965,4399780,2,38528,446965.00000000000,4399780.00000000000,12899,19.58290000000,640.96800000000
446965,4399779,2,38528,446965.00000000000,4399779.00000000000,12907,20.24560000000,640.75800000000
446965,4399778,2,38528,446965.00000000000,4399778.00000000000,12908,21.21630000000,640.40900000000
446965,4399777,2,38528,446965.00000000000,4399777.00000000000,12909,18.93920000000,640.04700000000
446965,4399776,2,38528,446965.00000000000,4399776.00000000000,12910,20.70410000000,639.71500000000
446965,4399775,2,38528,446965.00000000000,4399775.00000000000,12911,20.24040000000,639.29400000000
446966,4399774,2,38528,446966.00000000000,4399774.00000000000,12914,25.08020000000,638.84200000000
446966,4399773,2,38528,446966.00000000000,4399773.00000000000,12915,26.99550000000,638.40400000000
446966,4399772,2,38528,446966.00000000000,4399772.00000000000,12916,25.38340000000,637.82300000000
446966,4399771,2,38528,446966.00000000000,4399771.00000000000,13064,17.60590000000,637.41100000000
446966,4399770,2,38528,446966.00000000000,4399770.00000000000,13229,14.57410000000,637.15100000000
446966,4399769,2,38528,446966.00000000000,4399769.00000000000,13231,15.15090000000,636.97100000000
446966,4399768,2,38528,446966.00000000000,4399768.00000000000,13232,17.63720000000,636.74500000000
446966,4399767,2,38528,446966.00000000000,4399767.00000000000,13233,24.44030000000,636.35100000000
446966,4399766,2,38528,446966.00000000000,4399766.00000000000,13234,22.65880000000,635.77700000000
446966,4399765,2,38528,446966.00000000000,4399765.00000000000,13235,14.82430000000,635.51100000000
446966,4399764,2,38528,446966.00000000000,4399764.00000000000,13463,15.56750000000,635.19000000000
446966,4399763,2,38528,446966.00000000000,4399763.00000000000,13465,16.87270000000,634.93600000000
446966,4399762,2,38528,446966.00000000000,4399762.00000000000,13467,13.57150000000,634.65800000000
446966,4399761,2,38528,446966.00000000000,4399761.00000000000,13468,16.03310000000,634.51600000000
446966,4399760,2,38528,446966.00000000000,4399760.00000000000,13556,16.26960000000,634.04700000000
446966,4399759,2,38528,446966.00000000000,4399759.00000000000,13559,16.74050000000,633.89700000000
446967,4399758,2,38528,446967.00000000000,4399758.00000000000,13560,26.70550000000,633.39600000000
446968,4399757,2,38528,446968.00000000000,4399757.00000000000,13561,32.18120000000,632.60900000000
446969,4399756,2,38528,446969.00000000000,4399756.00000000000,13562,31.71670000000,631.72700000000
446970,4399755,2,38528,446970.00000000000,4399755.00000000000,13595,34.31620000000,630.77100000000
446971,4399754,2,38528,446971.00000000000,4399754.00000000000,13610,28.64890000000,629.86300000000
446971,4399753,2,38528,446971.00000000000,4399753.00000000000,13617,29.16550000000,629.40800000000
446971,4399752,2,38528,446971.00000000000,4399752.00000000000,13623,27.88330000000,628.79600000000
446971,4399751,2,38528,446971.00000000000,4399751.00000000000,13634,24.01050000000,628.35700000000
446972,4399750,2,38528,446972.00000000000,4399750.00000000000,13694,25.17080000000,627.80400000000
446973,4399749,2,38528,446973.00000000000,4399749.00000000000,13697,29.59700000000,627.37700000000
446973,4399748,2,38528,446973.00000000000,4399748.00000000000,13725,24.43350000000,626.81100000000
446973,4399747,2,38528,446973.00000000000,4399747.00000000000,13728,23.42730000000,626.53100000000
446973,4399746,2,38528,446973.00000000000,4399746.00000000000,13737,33.46610000000,626.02600000000
446972,4399745,2,38528,446972.00000000000,4399745.00000000000,13739,35.83390000000,624.83000000000
