Flow_acc ACRR,Typ ACRR,Data_Point ACRR,Flow_acc SRS,Typ SR,Data_Point SR
5074020,In channel,269,,,269
68935,Flowhead,270,,,270
30810,Flowhead,271,,,271
4687,Flowhead,272,,,272
112,Flowhead,273,,,273
14,Flowhead,274,,,274
2,Flowhead,275,,,275
449,Flowhead,276,,,276
31285,Flowhead,277,,,277
2683,Flowhead,278,,,278
132,Flowhead,279,,,279
84027,Flowhead,280,,,280
116,Flowhead,281,,,281
847,Flowhead,282,,,282
39,Flowhead,283,,,283
42048,Flowhead,284,,,284
25,Flowhead,285,,,285
15,Flowhead,286,,,286
34,Flowhead,287,,,287
102,Flowhead,288,,,288
53,Flowhead,289,,,289
1,Flowhead,290,,,290
38,Flowhead,291,,,291
1186,Flowhead,292,,,292
21,Flowhead,293,,,293
993,Flowhead,294,,,294
1806,Flowhead,295,,,295
106,Flowhead,296,,,296
5870,Flowhead,297,,,297
368,Flowhead,298,,,298
12,Flowhead,299,,,299
58,Flowhead,300,,,300
6525,Flowhead,301,,,301
705,Flowhead,302,,,302
15786,Flowhead,303,,,303
172,Flowhead,304,,,304
252,Flowhead,305,,,305
1087,Flowhead,306,,,306
55815,Flowhead,307,,,307
2188,Flowhead,308,,,308
10669,Flowhead,309,,,309
,,310,,,310
