FID,ARCID,GRID_CODE,FROM_NODE,TO_NODE,Length,X_UTM,Y_UTM,AngeloSage,flowacc_co
17653,3112,1,2690,2388,158.849343995000000,459393.000000000000000,4379977.000000000000000,704.5487671,2512
17654,3112,1,2690,2388,158.849343995000000,459382.000000000000000,4379992.000000000000000,701.4059448,3775
17655,3112,1,2690,2388,158.849343995000000,459374.000000000000000,4379999.000000000000000,698.2802124,4081
17656,3112,1,2690,2388,158.849343995000000,459372.000000000000000,4380002.000000000000000,697.1652222,4183
17657,3112,1,2690,2388,158.849343995000000,459372.000000000000000,4380004.000000000000000,696.6934814,4190
17658,3112,1,2690,2388,158.849343995000000,459368.000000000000000,4380007.000000000000000,695.7283325,4300
17659,3112,1,2690,2388,158.849343995000000,459362.000000000000000,4380022.000000000000000,690.3679810,4591
17660,3112,1,2690,2388,158.849343995000000,459360.000000000000000,4380025.000000000000000,689.3380127,4705
17661,3112,1,2690,2388,158.849343995000000,459355.000000000000000,4380029.000000000000000,688.6782837,5161
17662,3112,1,2690,2388,158.849343995000000,459355.000000000000000,4380035.000000000000000,687.6491089,5432
17663,3112,1,2690,2388,158.849343995000000,459357.000000000000000,4380037.000000000000000,687.1080322,5434
17664,3112,1,2690,2388,158.849343995000000,459360.000000000000000,4380046.000000000000000,685.4333496,6046
17665,3112,1,2690,2388,158.849343995000000,459361.000000000000000,4380055.000000000000000,681.9207764,6130
17666,3112,1,2690,2388,158.849343995000000,459364.000000000000000,4380060.000000000000000,679.5191650,6203
17667,3112,1,2690,2388,158.849343995000000,459363.000000000000000,4380062.000000000000000,678.6018066,6231
17668,3112,1,2690,2388,158.849343995000000,459362.000000000000000,4380080.000000000000000,671.9556885,6974
17669,3112,1,2690,2388,158.849343995000000,459365.000000000000000,4380087.000000000000000,669.8571167,7015
17670,3112,1,2690,2388,158.849343995000000,459364.000000000000000,4380088.000000000000000,669.5518799,7044
17671,3112,1,2690,2388,158.849343995000000,459365.000000000000000,4380095.000000000000000,667.3242798,7177
17672,3112,1,2690,2388,158.849343995000000,459367.000000000000000,4380096.000000000000000,666.5930786,7250
17673,3112,1,2690,2388,158.849343995000000,459369.000000000000000,4380099.000000000000000,665.8164673,7268
17674,3112,1,2690,2388,158.849343995000000,459371.000000000000000,4380099.000000000000000,665.6055298,7271
17675,3112,1,2690,2388,158.849343995000000,459375.000000000000000,4380102.000000000000000,664.6207275,1280
17676,3113,1,2673,2693,12.909269189500000,457147.000000000000000,4379973.000000000000000,775.7214355,200762
17677,3113,1,2673,2693,12.909269189500000,457152.000000000000000,4379972.000000000000000,777.0399170,6879
17678,3113,1,2673,2693,12.909269189500000,457157.000000000000000,4379966.000000000000000,779.0180664,5405
17679,3114,1,2694,2635,71.495516256000002,455851.000000000000000,4379965.000000000000000,880.7337646,54736
17680,3114,1,2694,2635,71.495516256000002,455851.000000000000000,4379967.000000000000000,880.5400391,58027
17681,3114,1,2694,2635,71.495516256000002,455854.000000000000000,4379970.000000000000000,880.1057739,58353
17682,3114,1,2694,2635,71.495516256000002,455860.000000000000000,4379971.000000000000000,879.4713745,58646
17683,3114,1,2694,2635,71.495516256000002,455870.000000000000000,4379978.000000000000000,877.5394287,59352
17684,3114,1,2694,2635,71.495516256000002,455882.000000000000000,4379977.000000000000000,875.2234497,60145
17685,3114,1,2694,2635,71.495516256000002,455883.000000000000000,4379978.000000000000000,874.9457397,60249
17686,3114,1,2694,2635,71.495516256000002,455887.000000000000000,4379978.000000000000000,874.3473511,60320
17687,3114,1,2694,2635,71.495516256000002,455889.000000000000000,4379980.000000000000000,874.0729980,60516
17688,3114,1,2694,2635,71.495516256000002,455892.000000000000000,4379980.000000000000000,873.7020264,60521
17689,3114,1,2694,2635,71.495516256000002,455893.000000000000000,4379981.000000000000000,873.1840820,60530
17690,3114,1,2694,2635,71.495516256000002,455901.000000000000000,4379979.000000000000000,870.3777466,61107
17691,3114,1,2694,2635,71.495516256000002,455908.000000000000000,4379982.000000000000000,869.8171997,61633
17692,3114,1,2694,2635,71.495516256000002,455913.000000000000000,4379986.000000000000000,867.3778076,61708
17693,3115,1,2256,2692,272.279535167000010,456545.000000000000000,4380136.000000000000000,793.2855225,136788
17694,3115,1,2256,2692,272.279535167000010,456548.000000000000000,4380129.000000000000000,795.4970703,8600
17695,3115,1,2256,2692,272.279535167000010,456550.000000000000000,4380127.000000000000000,795.9093628,8576
17696,3115,1,2256,2692,272.279535167000010,456550.000000000000000,4380125.000000000000000,796.1530762,8559
17697,3115,1,2256,2692,272.279535167000010,456548.000000000000000,4380122.000000000000000,796.5991821,8398
17698,3115,1,2256,2692,272.279535167000010,456541.000000000000000,4380114.000000000000000,797.9807739,8165
17699,3115,1,2256,2692,272.279535167000010,456537.000000000000000,4380111.000000000000000,799.1577148,7940
17700,3115,1,2256,2692,272.279535167000010,456533.000000000000000,4380110.000000000000000,800.2155151,7817
17701,3115,1,2256,2692,272.279535167000010,456530.000000000000000,4380107.000000000000000,801.2081909,7730
17702,3115,1,2256,2692,272.279535167000010,456527.000000000000000,4380101.000000000000000,802.7003784,7611
17703,3115,1,2256,2692,272.279535167000010,456527.000000000000000,4380094.000000000000000,803.9194946,7507
17704,3115,1,2256,2692,272.279535167000010,456526.000000000000000,4380092.000000000000000,804.1903076,7479
17705,3115,1,2256,2692,272.279535167000010,456521.000000000000000,4380088.000000000000000,804.9436646,7206
17706,3115,1,2256,2692,272.279535167000010,456516.000000000000000,4380087.000000000000000,805.5677490,6977
17707,3115,1,2256,2692,272.279535167000010,456512.000000000000000,4380083.000000000000000,806.3594360,6655
17708,3115,1,2256,2692,272.279535167000010,456499.000000000000000,4380068.000000000000000,809.3698120,6638
17709,3115,1,2256,2692,272.279535167000010,456499.000000000000000,4380066.000000000000000,809.5534668,6636
17710,3115,1,2256,2692,272.279535167000010,456494.000000000000000,4380059.000000000000000,810.4005127,6618
17711,3115,1,2256,2692,272.279535167000010,456491.000000000000000,4380051.000000000000000,811.5507813,6490
17712,3115,1,2256,2692,272.279535167000010,456464.000000000000000,4380024.000000000000000,818.4982910,6265
17713,3115,1,2256,2692,272.279535167000010,456463.000000000000000,4380011.000000000000000,821.4125366,6239
17714,3115,1,2256,2692,272.279535167000010,456456.000000000000000,4380003.000000000000000,822.9669189,6145
17715,3115,1,2256,2692,272.279535167000010,456444.000000000000000,4379994.000000000000000,824.8282471,5546
17716,3115,1,2256,2692,272.279535167000010,456439.000000000000000,4379993.000000000000000,825.6474609,5521
17717,3115,1,2256,2692,272.279535167000010,456426.000000000000000,4379979.000000000000000,829.3263550,5185
17718,3115,1,2256,2692,272.279535167000010,456422.000000000000000,4379976.000000000000000,830.5333252,5090
17719,3115,1,2256,2692,272.279535167000010,456418.000000000000000,4379976.000000000000000,831.0990601,5045
17720,3115,1,2256,2692,272.279535167000010,456415.000000000000000,4379979.000000000000000,830.7155762,4196
17721,3115,1,2256,2692,272.279535167000010,456409.000000000000000,4379979.000000000000000,830.9028320,3993
17722,3115,1,2256,2692,272.279535167000010,456399.000000000000000,4379970.000000000000000,833.9822388,3636
17723,3115,1,2256,2692,272.279535167000010,456394.000000000000000,4379970.000000000000000,834.5758667,3260
17724,3115,1,2256,2692,272.279535167000010,456393.000000000000000,4379969.000000000000000,834.5924683,3258
17725,3115,1,2256,2692,272.279535167000010,456392.000000000000000,4379970.000000000000000,834.5690918,3256
17726,3115,1,2256,2692,272.279535167000010,456389.000000000000000,4379970.000000000000000,835.0138550,3163
17727,3115,1,2256,2692,272.279535167000010,456382.000000000000000,4379965.000000000000000,836.3088989,3153
17728,3115,1,2256,2692,272.279535167000010,456380.000000000000000,4379967.000000000000000,836.6443481,2953
17729,3115,1,2256,2692,272.279535167000010,456376.000000000000000,4379966.000000000000000,837.3562012,1283
17730,3116,1,2575,2695,115.794332539000000,457158.000000000000000,4380018.000000000000000,768.9329834,6064
17731,3116,1,2575,2695,115.794332539000000,457168.000000000000000,4380011.000000000000000,774.3428345,5999
17732,3116,1,2575,2695,115.794332539000000,457172.000000000000000,4380010.000000000000000,775.8362427,5942
17733,3116,1,2575,2695,115.794332539000000,457181.000000000000000,4380002.000000000000000,780.1873779,5582
17734,3116,1,2575,2695,115.794332539000000,457185.000000000000000,4380000.000000000000000,781.8998413,5329
17735,3116,1,2575,2695,115.794332539000000,457198.000000000000000,4379985.000000000000000,788.7401123,3403
17736,3116,1,2575,2695,115.794332539000000,457209.000000000000000,4379983.000000000000000,791.5391235,3116
17737,3116,1,2575,2695,115.794332539000000,457215.000000000000000,4379977.000000000000000,794.1406860,2903
17738,3116,1,2575,2695,115.794332539000000,457219.000000000000000,4379977.000000000000000,795.3204956,2853
17739,3116,1,2575,2695,115.794332539000000,457223.000000000000000,4379975.000000000000000,796.5209961,2465
17740,3116,1,2575,2695,115.794332539000000,457228.000000000000000,4379975.000000000000000,798.1262207,1928
17741,3116,1,2575,2695,115.794332539000000,457230.000000000000000,4379973.000000000000000,798.6156616,1816
17742,3116,1,2575,2695,115.794332539000000,457232.000000000000000,4379973.000000000000000,799.0800171,1813
17743,3116,1,2575,2695,115.794332539000000,457237.000000000000000,4379966.000000000000000,800.9906006,1736
17744,3116,1,2575,2695,115.794332539000000,457240.000000000000000,4379966.000000000000000,801.5313721,1698
17745,3116,1,2575,2695,115.794332539000000,457243.000000000000000,4379968.000000000000000,801.7308960,1596
17746,3116,1,2575,2695,115.794332539000000,457245.000000000000000,4379968.000000000000000,802.2156372,1568
17747,3116,1,2575,2695,115.794332539000000,457247.000000000000000,4379966.000000000000000,802.9427490,1545
17748,3116,1,2575,2695,115.794332539000000,457252.000000000000000,4379965.000000000000000,804.1769409,1258
17749,3117,1,2696,2692,4.236067977500000,456373.000000000000000,4379964.000000000000000,837.6560059,1246
17750,3117,1,2696,2692,4.236067977500000,456374.000000000000000,4379966.000000000000000,837.6233521,1281
17751,3117,1,2696,2692,4.236067977500000,456376.000000000000000,4379966.000000000000000,837.3562012,1283
17752,3118,1,2693,2697,3.605551275460000,457157.000000000000000,4379966.000000000000000,779.0180664,5405
17753,3118,1,2693,2697,3.605551275460000,457160.000000000000000,4379964.000000000000000,780.0730591,1214
17754,3119,1,2691,2698,4.472135955000000,456221.000000000000000,4379966.000000000000000,846.6240234,1361
17755,3119,1,2691,2698,4.472135955000000,456223.000000000000000,4379965.000000000000000,846.6491089,1367
17756,3119,1,2691,2698,4.472135955000000,456224.000000000000000,4379963.000000000000000,846.6156006,62988
17757,3120,1,2678,2698,18.207876542499999,456238.000000000000000,4379972.000000000000000,844.8241577,2376
17758,3120,1,2678,2698,18.207876542499999,456233.000000000000000,4379965.000000000000000,845.9249268,64810
17759,3120,1,2678,2698,18.207876542499999,456227.000000000000000,4379965.000000000000000,846.6622925,64430
17760,3120,1,2678,2698,18.207876542499999,456224.000000000000000,4379963.000000000000000,846.6156006,62988
17761,3121,1,2696,2699,1.414213562370000,456373.000000000000000,4379964.000000000000000,837.6560059,1246
17762,3121,1,2696,2699,1.414213562370000,456374.000000000000000,4379963.000000000000000,837.6688843,1655
17763,3122,1,2692,2699,3.605551275460000,456376.000000000000000,4379966.000000000000000,837.3562012,1283
17764,3122,1,2692,2699,3.605551275460000,456374.000000000000000,4379963.000000000000000,837.6688843,1655
17765,3123,1,2701,2702,1.000000000000000,455838.000000000000000,4379961.000000000000000,883.3270874,1622
17766,3123,1,2701,2702,1.000000000000000,455839.000000000000000,4379961.000000000000000,883.1306152,1623
17767,3124,1,2702,2694,13.082762530300000,455839.000000000000000,4379961.000000000000000,883.1306152,1623
17768,3124,1,2702,2694,13.082762530300000,455845.000000000000000,4379962.000000000000000,882.0051270,3030
17769,3124,1,2702,2694,13.082762530300000,455849.000000000000000,4379965.000000000000000,880.9927979,3181
17770,3124,1,2702,2694,13.082762530300000,455851.000000000000000,4379965.000000000000000,880.7337646,54736
17771,3125,1,2704,2663,46.556791511999997,458212.000000000000000,4379961.000000000000000,710.4858398,9634
17772,3125,1,2704,2663,46.556791511999997,458216.000000000000000,4379961.000000000000000,709.7421265,11077
17773,3125,1,2704,2663,46.556791511999997,458218.000000000000000,4379963.000000000000000,709.0106201,11219
17774,3125,1,2704,2663,46.556791511999997,458228.000000000000000,4379962.000000000000000,706.5106812,11336
17775,3125,1,2704,2663,46.556791511999997,458233.000000000000000,4379966.000000000000000,705.2390137,11538
