FID,ARCID,GRID_CODE,FROM_NODE,TO_NODE,Length,X_UTM,Y_UTM,flowacc_co,AngeloSage
14141,2538,1,2204,2149,54.808444999999999,456012.000000000000000,4380158.000000000000000,173362,836.6099854
14142,2538,1,2204,2149,54.808444999999999,456014.000000000000000,4380158.000000000000000,173903,836.2150269
14143,2538,1,2204,2149,54.808444999999999,456016.000000000000000,4380160.000000000000000,188048,835.6900024
14144,2540,1,2159,2187,39.756104999999998,456558.000000000000000,4380158.000000000000000,162749,791.7509766
14145,2540,1,2159,2187,39.756104999999998,456559.000000000000000,4380157.000000000000000,162753,791.7670288
14146,2540,1,2159,2187,39.756104999999998,456561.000000000000000,4380159.000000000000000,162767,791.3800049
14147,2540,1,2159,2187,39.756104999999998,456564.000000000000000,4380158.000000000000000,162825,791.2620239
14148,2549,1,1851,2210,144.720470000000010,457360.000000000000000,4380168.000000000000000,1701,770.0469971
14149,2549,1,1851,2210,144.720470000000010,457360.000000000000000,4380164.000000000000000,1697,770.8070068
14150,2549,1,1851,2210,144.720470000000010,457364.000000000000000,4380160.000000000000000,1168,771.7249756
14151,2552,1,1919,2213,97.490645000000001,459374.000000000000000,4380169.000000000000000,18628,647.8300171
14152,2552,1,1919,2213,97.490645000000001,459374.000000000000000,4380164.000000000000000,18496,649.9110107
14153,2552,1,1919,2213,97.490645000000001,459375.000000000000000,4380163.000000000000000,18443,649.9050293
14154,2552,1,1919,2213,97.490645000000001,459374.000000000000000,4380160.000000000000000,18311,650.9420166
14155,2552,1,1919,2213,97.490645000000001,459376.000000000000000,4380158.000000000000000,18168,651.5819702
14156,2555,1,2056,2216,55.131250999999999,456134.000000000000000,4380171.000000000000000,6693,826.7520142
14157,2555,1,2056,2216,55.131250999999999,456139.000000000000000,4380160.000000000000000,6416,829.5789795
14158,2555,1,2056,2216,55.131250999999999,456139.000000000000000,4380158.000000000000000,6405,830.1040039
14159,2557,1,2065,2218,76.164401999999995,458859.000000000000000,4380172.000000000000000,4662804,632.7650146
14160,2557,1,2065,2218,76.164401999999995,458860.000000000000000,4380171.000000000000000,4662809,632.7319946
14161,2557,1,2065,2218,76.164401999999995,458860.000000000000000,4380167.000000000000000,4662970,632.4569702
14162,2557,1,2065,2218,76.164401999999995,458862.000000000000000,4380165.000000000000000,4662991,632.5219727
14163,2557,1,2065,2218,76.164401999999995,458861.000000000000000,4380163.000000000000000,4663002,632.5670166
14164,2557,1,2065,2218,76.164401999999995,458864.000000000000000,4380161.000000000000000,4663016,632.5549927
14165,2557,1,2065,2218,76.164401999999995,458864.000000000000000,4380159.000000000000000,4664070,632.3250122
14166,2557,1,2065,2218,76.164401999999995,458866.000000000000000,4380158.000000000000000,4664087,632.4249878
